P100ID01,WST_2007,WST_2009
257901,3,3.111111111
258202,3.777777778,3
258901,3.333333333,2.111111111
259101,2.888888889,2.666666667
259302,3,2.555555556
259902,2,2
260204,2.111111111,2.222222222
260602,3.222222222,2.555555556
261305,2,2.111111111
261802,3.222222222,3.222222222
261901,2.222222222,2.666666667
262002,2.777777778,2.666666667
263003,2,2.333333333
263702,3.222222222,3.111111111
264102,3.777777778,2.555555556
264204,3,4
265202,3.666666667,3.666666667
265302,3.333333333,3.333333333
265502,3,3.444444444
265602,3.222222222,3.555555556
265702,3,2.333333333
265801,2.333333333,2.222222222
266002,3.111111111,3.222222222
266102,3.888888889,3
268301,1.777777778,2.666666667
268402,3.111111111,2.222222222
269802,2.777777778,2.777777778
269902,3.888888889,3.222222222
270002,3.333333333,2.888888889
270702,3,2.888888889
271304,2.555555556,2.222222222
272202,1,2.777777778
273502,2.222222222,2.888888889
274102,3.222222222,3
274302,3.666666667,2.888888889
274601,3.444444444,3
274702,3,2.777777778
275002,2.666666667,3.444444444
275202,3.555555556,3
275601,3,2.444444444
275901,4,3.888888889
276703,3.111111111,3.222222222
277901,2.888888889,2.555555556
279002,2.777777778,3.111111111
279802,4.111111111,3
280202,1,2
280602,2.666666667,3.333333333
280902,2.444444444,2
281102,3.666666667,3.333333333
281402,2.666666667,2.666666667
281501,3.111111111,4
281902,3.888888889,3.555555556
282003,2.666666667,1.888888889
282302,4.222222222,3.888888889
282402,1.666666667,2.111111111
282502,3.666666667,3.444444444
282802,3.111111111,2.555555556
282901,3.111111111,3.333333333
283102,3,2.222222222
283402,3.111111111,3.111111111
283802,2.333333333,2.333333333
284102,2.555555556,2.555555556
284502,3.555555556,3.444444444
285102,3,3
285401,1.333333333,1.222222222
285702,1.888888889,1.777777778
286302,2.111111111,2.555555556
286402,2.111111111,3.111111111
286702,3,3.555555556
286802,3,3.111111111
286902,3.111111111,3
287102,4.111111111,2.888888889
287202,2.333333333,2.555555556
287301,2.666666667,2.333333333
287401,1,2
287802,2.333333333,1.888888889
287902,3,2.888888889
288002,2.666666667,2.888888889
288202,2.888888889,1.777777778
288302,2.888888889,3.111111111
288501,3,3.555555556
289802,2.555555556,3.111111111
290002,2,2.555555556
290301,3.111111111,3
290902,2.777777778,1.333333333
291101,2.888888889,2.444444444
291302,2.333333333,2.666666667
291702,3.333333333,2.555555556
292002,3.555555556,3.666666667
292102,3.333333333,3.666666667
292302,3.333333333,2.222222222
292602,2.222222222,1.888888889
292802,4.555555556,3.666666667
293004,3,2.666666667
293102,2.888888889,3
293202,2.666666667,3
293302,3,3.333333333
293602,3.666666667,2.222222222
294004,3.111111111,2.222222222
294201,3.444444444,3.111111111
294301,4,3.444444444
294802,2.333333333,2.444444444
295101,3.555555556,3.333333333
296102,1.888888889,1.777777778
296501,4,2.555555556
296902,2.777777778,2
297301,3.888888889,3.444444444
297902,2.777777778,2
298202,2.444444444,2.222222222
298902,3.111111111,3
299002,3.111111111,3
299202,3,3
299502,3.222222222,3.333333333
299602,3,3.444444444
299702,2.666666667,2.777777778
299802,3.111111111,3
300101,2,1.555555556
301002,2.666666667,2.777777778
301202,2.666666667,3
302702,2,2.111111111
303602,2,2
304203,2.888888889,1.555555556
304301,2.222222222,2.555555556
305202,3.111111111,2.444444444
306101,1.111111111,2
306502,4,3.555555556
307002,4.333333333,4
307302,3.555555556,3.777777778
307502,3.222222222,2.666666667
307602,1,2.333333333
308202,3.444444444,3
309302,2.888888889,2.888888889
309602,2.888888889,2
310002,2,2.444444444
310302,3.222222222,3.444444444
311202,2,3
312002,3.111111111,2.222222222
312202,2,1
312402,2.777777778,1.888888889
312502,3.777777778,3.888888889
312601,3.777777778,3.666666667
312702,2.777777778,2.222222222
312902,3.333333333,3.111111111
313002,4.444444444,3.666666667
313102,3.333333333,2.222222222
313301,2.444444444,2.777777778
313602,3,3.444444444
313801,3.333333333,2.888888889
314301,3.777777778,3.222222222
314702,3.666666667,3.111111111
314902,2,1.888888889
315302,3.444444444,3.111111111
316301,3.333333333,3.222222222
316502,3,3.333333333
317001,2,2.888888889
317202,2.777777778,2.888888889
317602,4.333333333,3.888888889
317904,3.555555556,2.333333333
318002,4.111111111,2.888888889
318602,2.222222222,3.333333333
318902,3,2.777777778
319302,3.666666667,3
319502,3.444444444,3.111111111
319602,3.444444444,3
319702,3.222222222,2.888888889
319802,3.111111111,3
319902,3.111111111,3
320002,3.333333333,2.666666667
320801,2.666666667,3
321002,2.777777778,3.111111111
321102,3.333333333,3
321602,3.444444444,3.333333333
322002,2.222222222,3
323602,2.333333333,2.333333333
323802,2.777777778,1.222222222
324302,3.111111111,2.444444444
324402,3.444444444,2.666666667
324502,4,2.333333333
325302,3,3
325702,2.333333333,3
325901,3.888888889,3.333333333
326102,3,3.222222222
326103,3.333333333,3.444444444
326302,2.666666667,2.222222222
326502,3,2.777777778
326503,2,2.333333333
326803,2.444444444,2.222222222
327201,2.888888889,2.666666667
327202,3,2.444444444
327203,3.111111111,2.777777778
327302,3.222222222,2.555555556
327401,1.666666667,1.888888889
327502,3.222222222,3.222222222
328102,2,1.666666667
328402,2.222222222,2.777777778
328502,3.111111111,2.444444444
328702,2.888888889,3.555555556
328703,2.888888889,3.888888889
328802,3.222222222,3
329102,3.444444444,3.444444444
329202,3.333333333,3
329402,3.888888889,3.555555556
329502,4.333333333,2.444444444
329602,3.555555556,3.111111111
330002,4,3
330201,3,3
330502,3.555555556,3
330503,1.222222222,2.333333333
330802,3.444444444,3
331002,3.333333333,3
331003,4.222222222,3.777777778
331101,2.666666667,3.222222222
331102,3.888888889,3.111111111
331302,2.777777778,3.111111111
331402,2.444444444,2.444444444
331502,2.888888889,3.111111111
331602,2.666666667,2.333333333
331702,4,3.222222222
332002,2.333333333,2.222222222
332202,4.222222222,2.111111111
332502,2.888888889,3
332602,3.111111111,2.666666667
333702,3.666666667,3.222222222
334102,3.222222222,3.444444444
334201,3.333333333,2.555555556
334302,3.444444444,2.333333333
334602,2.333333333,3
334702,1.666666667,3
335002,2.444444444,2.111111111
335202,3.111111111,3.444444444
335402,3,3
335702,3.333333333,3.111111111
335901,2.666666667,3.555555556
336102,3,3
336103,3,3.222222222
336203,2.444444444,3.222222222
336301,3.222222222,2.888888889
336702,3.111111111,3
336801,2.444444444,3
336903,2,3.111111111
337203,2.777777778,2.777777778
337402,3.333333333,3
337502,2.555555556,3
338202,3,2.888888889
338303,3.444444444,2.777777778
338401,3.111111111,3
339001,3.444444444,3
339903,2.444444444,2
341302,2,2
341602,2.666666667,3.111111111
341703,4,3.444444444
342502,4.888888889,3.333333333
342702,3,4
343002,2.777777778,2.333333333
343402,2.555555556,3
343602,2.666666667,2
344301,2,3
344801,3,3.111111111
345101,3.333333333,3.111111111
345302,4.333333333,2.777777778
346902,2.333333333,3
346903,2.444444444,2
347102,3.555555556,2.444444444
347203,2.444444444,2.222222222
347502,2.111111111,1.333333333
347702,2.666666667,3
348102,1.888888889,1.777777778
349502,2.444444444,2.666666667
349702,2,3
349802,2.222222222,2.333333333
349903,2.222222222,3
350102,3,1.777777778
350202,4.333333333,3.222222222
350502,3.111111111,3.222222222
350602,4,3
351002,2.888888889,3.111111111
351202,2.888888889,3.222222222
351501,2.666666667,3
351602,2.777777778,2.555555556
351702,3.555555556,2.888888889
351801,1.333333333,2.333333333
351902,3.777777778,3
352302,3.333333333,2.444444444
352702,2.111111111,2.444444444
354602,2,1
354902,2,2.666666667
355001,3,3
355202,3.666666667,3.111111111
355502,3,2.444444444
356202,3,3.333333333
356802,2.666666667,1.777777778
357004,1.444444444,3
357403,3.333333333,2.666666667
357802,2.555555556,1.888888889
358102,2.555555556,2.777777778
359402,2.444444444,3.777777778
359902,3,2.444444444
360002,3.555555556,3.444444444
360102,2,2.555555556
360802,2.222222222,3
361902,3.222222222,2.222222222
362202,2.111111111,3.222222222
362302,3,3.555555556
363001,3.777777778,3.777777778
366403,2.666666667,1
366502,2,2.222222222
366602,3,2.888888889
366603,3.444444444,2.222222222
366701,2.666666667,2
366902,2.777777778,2.777777778
367102,3,2.888888889
367502,2.222222222,2.333333333
368102,3.333333333,3.222222222
368202,3.111111111,2.888888889
368501,2.333333333,2.222222222
369002,2.777777778,4
369202,2.777777778,2.888888889
369302,3,3
370102,2.777777778,2.444444444
370202,2.666666667,2.333333333
370802,3.111111111,2.444444444
371002,4,2.777777778
371004,3.111111111,2
371102,3.888888889,3
371202,3.444444444,3
371302,3.666666667,4
371402,3.666666667,4
371502,3.666666667,4
371802,2.444444444,2.777777778
371902,2.777777778,3
372102,2.888888889,2.777777778
372302,2.888888889,4
372602,2.666666667,3
372801,3.444444444,3.333333333
373302,4,4
373502,3.555555556,3
373802,3.555555556,3
373902,3,3.666666667
373904,2.777777778,3
374502,2.444444444,3
374702,3.555555556,3
375601,2.777777778,3.333333333
376104,2,2
376203,2.222222222,2.888888889
376302,3,3
376702,3.333333333,3
377402,3.222222222,3
377502,3,3.111111111
377602,3.111111111,2.888888889
378702,3.333333333,3
379002,2.222222222,3
379003,3.222222222,2
379103,2.222222222,2.333333333
379202,3.333333333,2.333333333
379402,2.333333333,2.666666667
379702,2.444444444,1.555555556
379902,2.333333333,2.333333333
380301,2.888888889,3
380402,2.555555556,3
380502,3,2
380702,2.888888889,3.222222222
381802,2.222222222,2.888888889
382102,2.666666667,3
382702,3.666666667,3.222222222
383302,2.666666667,3.111111111
383402,3.111111111,4
383802,3.666666667,4
384202,2,2
384402,2.222222222,2.111111111
385302,3,3
385501,2.222222222,3
385601,2.111111111,2
385701,2,2.111111111
386102,2.444444444,3
386302,2.666666667,3.111111111
386402,3.111111111,3.333333333
386902,3.444444444,2.222222222
387702,3.222222222,2.666666667
387802,3.333333333,2.777777778
388002,3,3
389703,1.333333333,3
391102,2.444444444,3
392702,3,3
393302,2,2
394002,2.111111111,2.444444444
394502,3,2.111111111
394802,2.666666667,3
396003,2.666666667,3
396202,3.444444444,2.555555556
396502,2.111111111,3
398102,3,3
399402,2.666666667,2.888888889
399602,3,2.666666667
399902,3,2.444444444
400202,2.222222222,3
401501,2.444444444,3.555555556
402301,3,3.222222222
402502,3.444444444,2.777777778
402602,3,2.333333333
403001,2.333333333,3
403102,3.222222222,2.777777778
403202,2.888888889,2.333333333
403302,3,2.777777778
403402,3,2.444444444
403502,3,3
403602,2.222222222,3
403603,4,2.777777778
403702,3,2.222222222
404001,2.444444444,3
404102,3,3.222222222
404503,3,3
405602,2,2
406002,3,3
406102,3,3.222222222
406302,3,3
408102,1.555555556,3
409902,1.555555556,3
410202,2.666666667,4.666666667
410501,2.222222222,2
410802,3.111111111,3.888888889
410902,3,3
411002,3,2.555555556
411502,1.111111111,3
411601,1,2
411802,2,3
412701,3.111111111,3
413302,3,3
414702,1.888888889,3
415803,2,3.555555556
416802,2.111111111,2.666666667
417001,2.666666667,2.444444444
417102,3.666666667,2.444444444
417302,3,3
417602,1.555555556,1.555555556
418101,3.222222222,3.222222222
419003,2,2.555555556
419802,2.111111111,2.222222222
421302,3,2.444444444
421701,3,2.555555556
421801,3,2
423302,2.111111111,2.666666667
423601,4.444444444,3.111111111
423801,5,3.444444444
425002,2.222222222,3
425503,2.222222222,2.222222222
425902,3.888888889,3.444444444
426002,2.777777778,2.888888889
426502,4,2.222222222
427502,2.222222222,2
427901,5,3
428102,3.111111111,2
428402,2.666666667,3.222222222
428502,2.888888889,3.444444444
429502,2.888888889,3.444444444
429601,3.444444444,3.222222222
429602,2.444444444,3.111111111
